Timestamp,Event,Details,Capital
2025-04-16T20:27:44.019Z,FVG,"Check: ATR=64.94, fvgSensitivity=0.20, Threshold=12.99",10000.00
2025-04-16T20:27:44.019Z,FVG,"Bullish confermato, top=84864.30, bottom=84781.00, size=83.30",10000.00
2025-04-16T20:27:44.020Z,SaveCandles,"Salvate 2 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-16T20:27:44.020Z,Signal,"CVD check, prevVolume=-273.84, currVolume=97.65",10000.00
2025-04-16T20:27:44.021Z,Signal,"Bullish CVD su TF 3m, lastVolume=97.65",10000.00
2025-04-16T20:27:44.021Z,FVG,"Check: ATR=56.67, fvgSensitivity=0.20, Threshold=11.33",10000.00
2025-04-16T20:27:44.021Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-04-16T20:27:44.022Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-16T20:27:44.022Z,Signal,"CVD check, prevVolume=97.65, currVolume=92.49",10000.00
2025-04-16T20:27:44.022Z,Signal,"Nessun CVD, prevVolume=97.65, currVolume=92.49",10000.00
2025-04-16T20:27:44.022Z,FVG,"Check: ATR=57.53, fvgSensitivity=0.20, Threshold=11.51",10000.00
2025-04-16T20:27:44.022Z,FVG,"Non rilevato, condizioni non soddisfatte",10000.00
2025-04-16T20:27:44.023Z,SaveCandles,"Salvate 1 candele in /home/gedi/Desktop/VSCode/Multi-Exchanges-CVD-BOT/strategy/candlesStrategy/candlesStrategy_3m.json",10000.00
2025-04-16T20:27:44.023Z,Signal,"CVD check, prevVolume=92.49, currVolume=92.49",10000.00
2025-04-16T20:27:44.023Z,Signal,"Nessun CVD, prevVolume=92.49, currVolume=92.49",10000.00
2025-04-16T20:27:44.023Z,FVG,"Check: ATR=60.56, fvgSensitivity=0.20, Threshold=12.11",10000.00
